50
19	29	780
2	3	173
9	28	391
16	47	757
24	39	683
35	44	554
5	49	504
10	14	1146
3	15	943
3	43	938
37	39	904
15	17	98
10	24	585
22	44	1119
16	40	427
16	46	31
38	39	1093
13	31	377
0	27	327
25	31	1196
14	46	1133
6	7	834
20	37	528
9	16	388
15	45	1218
12	37	472
11	30	196
16	18	886
2	23	659
39	41	452
8	37	709
23	47	296
0	1	1021
11	17	839
22	27	1014
17	32	366
38	41	994
23	44	532
20	45	109
15	44	964
9	40	146
36	44	563
7	38	946
13	21	1178
17	23	811
12	41	481
3	10	937
0	2	54
12	17	1197
2	43	627
28	39	507
6	31	1052
11	25	1047
3	38	606
6	12	498
1	32	318
26	41	74
25	35	1025
14	15	441
7	43	331
24	29	918
4	10	705
21	33	329
26	47	300
8	18	78
40	47	1029
24	43	721
24	37	119
8	17	859
10	21	456
6	39	93
27	41	218
20	38	791
10	17	440
27	34	747
4	49	92
7	13	1023
22	43	833
31	36	978
30	49	363
0	4	577
2	14	982
18	32	276
16	29	995
4	15	344
34	41	1172
24	42	817
0	46	251
27	44	1027
3	29	186
3	26	691
16	42	798
6	33	124
6	34	734
14	35	1078
6	29	968
5	29	193
35	41	347
4	38	1180
33	39	992
3	25	595
37	40	720
0	48	1083
17	26	2
21	28	13
10	47	1002
27	39	305
10	12	103
4	18	340
22	45	95
8	29	1000
14	33	432
15	22	482
37	41	1067
42	46	437
17	18	516
35	38	566
25	46	8
5	30	182
18	26	107
30	35	217
4	42	1045
3	5	394
13	39	246
11	45	756
9	36	723
16	19	1050
17	24	438
29	49	403
40	46	741
18	48	489
13	46	499
2	36	1138
21	23	364
16	20	279
25	34	7
20	28	41
22	41	1207
7	30	890
10	11	818
19	42	419
5	24	200
1	47	55
5	17	1131
1	18	1006
45	48	856
37	48	509
2	5	411
5	41	264
4	34	1046
24	41	1122
36	47	1030
2	49	177
29	43	548
33	35	1144
30	40	227
18	27	726
25	33	845
18	19	797
6	14	996
10	27	248
19	44	384
16	48	345
23	39	153
8	27	822
34	49	355
2	42	284
47	48	801
9	13	835
45	46	330
19	47	414
4	16	398
1	17	25
17	31	1175
1	39	930
25	44	893
10	28	700
24	30	1216
4	24	1147
5	10	387
5	6	145
33	47	840
2	20	1063
24	44	237
26	39	1039
12	40	690
1	19	615
27	40	453
28	44	3
31	35	385
18	28	608
18	24	52
42	48	1169
2	16	1205
2	17	383
13	29	32
0	35	214
21	45	492
13	42	262
23	49	876
11	33	931
35	43	1036
38	46	207
11	29	1129
1	36	748
26	48	221
14	44	761
15	32	1191
25	39	597
31	43	1154
10	45	362
19	35	483
11	44	1124
2	8	386
8	46	479
37	38	827
8	25	508
37	42	446
5	43	750
30	31	631
9	37	312
10	37	235
38	45	1102
23	27	1070
5	31	684
29	46	404
24	32	763
1	48	121
29	48	1037
12	46	127
2	9	632
14	29	648
1	22	44
15	18	328
6	10	537
15	33	885
0	15	1051
15	35	804
21	24	283
22	25	1184
14	31	1199
13	15	988
19	30	1094
13	25	641
17	46	313
2	28	106
8	39	515
19	39	475
23	25	541
34	47	197
