100
74	93	947
23	44	735
5	96	4434
20	44	280
62	89	477
6	45	4171
64	93	3464
73	79	1374
34	73	642
15	34	3084
39	94	3261
3	74	2686
43	62	1832
4	74	1558
5	53	702
23	91	4644
19	94	3754
27	90	433
16	71	2781
78	82	4578
23	70	1606
23	77	2187
5	24	2293
26	39	1616
25	39	400
40	64	1943
34	95	3287
18	48	4815
88	97	1759
35	47	2164
71	97	689
4	42	1907
14	21	50
49	74	1844
14	82	2653
29	93	1138
18	84	4258
11	31	2575
37	95	415
2	57	3806
59	61	2541
20	99	4322
37	69	3618
49	90	4134
22	72	3087
19	75	3383
20	42	1652
8	84	1610
44	96	2027
52	86	4031
16	32	4718
20	30	3124
16	49	4468
21	69	2245
4	77	3327
44	68	270
29	45	3368
46	93	3341
15	53	198
9	25	1035
1	18	4831
65	99	1619
2	99	2721
23	82	1818
1	79	334
13	67	3374
8	97	2002
37	89	647
56	77	1755
34	79	1255
80	86	1588
8	11	2518
54	94	1089
24	86	4101
32	64	3521
50	75	2111
35	93	4311
6	15	2158
40	68	4875
34	67	763
73	87	3814
56	98	823
15	94	4088
76	88	4508
56	82	1866
16	94	847
4	50	3724
1	52	3492
6	87	4615
24	70	3162
19	40	3020
59	60	1838
38	78	1115
16	74	1646
42	50	1127
42	92	2375
18	54	3926
78	91	4378
25	61	1085
84	88	2938
26	79	3817
4	51	2409
68	90	3361
30	73	540
10	88	4630
16	82	2645
34	99	1668
35	81	4114
13	98	4624
15	40	3811
79	95	1443
4	25	4817
20	32	4007
77	95	107
23	71	2509
65	92	2767
11	50	1776
12	81	3167
1	15	202
44	82	1175
51	56	3964
25	98	3006
40	58	438
21	36	4846
44	91	53
56	91	1466
77	80	1180
7	90	1439
72	84	1948
4	23	2214
30	87	4213
88	94	1437
10	80	2840
51	67	1882
52	83	1152
38	40	828
17	31	751
23	49	1962
35	46	2699
41	45	2001
16	62	2669
59	86	4158
33	80	981
56	97	817
1	44	4078
11	22	2759
26	30	479
59	71	1801
22	66	2081
53	66	2642
14	50	3052
19	68	1103
13	27	309
10	19	4890
11	91	2149
47	71	3385
57	66	965
23	48	255
58	98	4601
86	88	4071
13	97	1567
77	87	3663
27	64	3639
57	92	4348
43	45	4176
12	78	1189
21	75	3283
36	72	2930
44	70	4832
73	80	4945
46	79	4819
93	96	2304
19	72	2956
13	18	4614
9	37	1604
17	56	2574
8	27	3560
9	39	4022
13	20	2510
38	97	3140
67	71	4492
46	55	2774
6	58	2286
57	79	4878
80	89	1123
70	86	2532
37	76	1683
24	98	3956
58	66	2433
24	57	4914
50	65	4277
45	89	958
46	73	999
12	31	771
3	76	1700
66	96	2323
33	95	22
35	37	3867
13	57	4350
5	88	2658
76	80	43
44	57	1357
29	59	2867
44	97	2426
42	87	2612
17	82	2395
17	19	366
37	70	4094
62	76	330
19	20	4424
42	51	1072
10	42	1327
48	86	3509
28	60	486
52	67	711
74	82	2263
42	83	2784
26	44	375
61	95	2421
89	94	4456
60	77	4915
34	71	3864
2	22	4744
54	65	1210
1	82	893
79	89	3225
10	61	4251
54	98	3858
43	68	1411
8	34	471
42	49	4939
54	97	2754
5	16	2817
35	42	2864
15	48	4297
34	98	2889
90	99	1706
40	51	3193
19	92	3338
8	73	3741
1	73	2044
19	48	2470
49	98	3358
65	73	3050
12	48	506
1	77	314
15	17	1047
67	83	370
27	33	1173
1	78	3822
93	99	593
8	21	1025
77	93	1810
55	95	3478
19	22	1906
6	73	3229
88	95	4117
22	99	1401
18	29	4823
32	68	3384
19	98	1676
40	59	4025
31	97	2848
25	70	4389
17	24	3512
24	80	3998
26	28	4359
34	42	1046
64	88	4825
3	90	3047
44	46	1147
13	83	4366
60	85	4047
17	39	2799
1	74	2886
3	70	753
36	78	3656
30	58	4289
94	98	2260
33	61	1408
10	37	3780
47	98	4356
50	74	1904
64	79	651
4	18	2349
42	62	232
51	70	54
14	23	1561
57	95	4863
21	58	2585
63	74	1391
5	86	3945
3	36	4110
86	93	1664
0	64	2457
39	58	3648
21	86	1786
0	47	869
10	87	2589
46	51	1704
